Speaker_2_073|Our treaty requires us to protect Haven, and Federation policy requires that we assist life forms in need.|Our treaty requires us to protect Haven, and Federation policy requires that we assist life forms in need.
Speaker_2_074|Which must include the Turalyans.|Which must include the Turalyans.
Speaker_2_075|I shall want you to help me find some answers.|I shall want you to help me find some answers.
Speaker_2_076|Thank you.|Thank you.
Speaker_2_077|However, there will be ample time for your second assignment.|However, there will be ample time for your second assignment.
Speaker_2_078|Voluntary, of course.|Voluntary, of course.
Speaker_2_079|The pre-joining announcement of Councillor Diana Troi.|The pre-joining announcement of Councillor Diana Troi.
Speaker_2_080|and White Miller.|and White Miller.
Speaker_2_081|Well, yes, of course, if all parties request it.|Well, yes, of course, if all parties request it.
Speaker_2_082|No, that's quite true.|No, that's quite true.
Speaker_2_083|An Earth wedding?|An Earth wedding?
Speaker_2_084|Ridiculous!|Ridiculous!
Speaker_2_085|But harm can't even talk.|But harm can't even talk.
Speaker_2_086|No matter, he is highly adept in the act of sign language.|No matter, he is highly adept in the act of sign language.
Speaker_2_087|Ladies and gentlemen, it is a Starfleet tradition that at social gatherings disputes are not permitted.|Ladies and gentlemen, it is a Starfleet tradition that at social gatherings disputes are not permitted.
Speaker_2_088|I hereby declare, therefore, all disagreements resolved.|I hereby declare, therefore, all disagreements resolved.
Speaker_2_089|And?|And?
Speaker_2_090|And may this union be a productive one.|And may this union be a productive one.
Speaker_2_091|Considering the rate at which you imbibe, sir, is your lineage at all mixed with human?|Considering the rate at which you imbibe, sir, is your lineage at all mixed with human?
Speaker_2_092|What do you think, Doctor?|What do you think, Doctor?
Speaker_2_093|Untrue!|Untrue!
Speaker_2_094|Captain's log, supplemental.|Captain's log, supplemental.
Speaker_2_095|All attempts at warning off the Turalyon ship have failed.|All attempts at warning off the Turalyon ship have failed.
Speaker_2_096|They still refuse to communicate, and I'm growing concerned.|They still refuse to communicate, and I'm growing concerned.
Speaker_2_097|How can you be certain they're receiving it?|How can you be certain they're receiving it?
Speaker_2_098|On viewer.|On viewer.
Speaker_2_099|We are aware of that, Electorine.|We are aware of that, Electorine.
Speaker_2_100|Please.|Please.
Speaker_2_101|We will not fire on them, Electorine.|We will not fire on them, Electorine.
Speaker_2_102|And then, Lieutenant?|And then, Lieutenant?
Speaker_2_103|Then we can't delay any longer.|Then we can't delay any longer.
Speaker_2_104|Ready the tractor beam, Lieutenant.|Ready the tractor beam, Lieutenant.
Speaker_2_105|Yeah.|Yeah.
Speaker_2_106|Target the ship.|Target the ship.
Speaker_2_107|Activate on my command.|Activate on my command.
Speaker_2_108|Engage.|Engage.
Speaker_2_109|Do we have him secured, Lieutenant?|Do we have him secured, Lieutenant?
Speaker_2_110|Can they beam out to the planet?|Can they beam out to the planet?
Speaker_2_111|Sir, our concern is with the threat your vessel poses to the planet below if you're still carrying the infection that destroyed your world.|Sir, our concern is with the threat your vessel poses to the planet below if you're still carrying the infection that destroyed your world.
Speaker_2_112|All of us that are left, Captain.|All of us that are left, Captain.
Speaker_2_113|If you come here because of the legend about Planet Haven miraculously healing the sick...|If you come here because of the legend about Planet Haven miraculously healing the sick...
Speaker_2_114|This is not our planet, sir.|This is not our planet, sir.
Speaker_2_115|But I will present your needs to those who do govern this world.|But I will present your needs to those who do govern this world.
Speaker_2_116|Dr.|Dr.
Speaker_2_117|Crusher had me set the coordinates.|Crusher had me set the coordinates.
Speaker_2_118|We knew.|We knew.
Speaker_2_119|Mrs.|Mrs.
Speaker_2_120|Miller, if I could have prevented this, I would...|Miller, if I could have prevented this, I would...
Speaker_2_121|Captain, my respects.|Captain, my respects.
Speaker_2_122|And mine, sir.|And mine, sir.
Speaker_2_123|I was not amused.|I was not amused.
Speaker_2_124|Take us out of here, Mr.|Take us out of here, Mr.
Speaker_2_125|Our destiny is elsewhere.|Our destiny is elsewhere.
Speaker_2_126|And I'm happy that yours is here with us, Counselor.|And I'm happy that yours is here with us, Counselor.
